2018-2019 Award Year Direct Loan Volume by School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Cumulative Activity through Quarter ending (6/30/2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: Common Origination and Disbursement (COD) System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data as of Oct 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,DL SUBSIDIZED,,,,,DL UNSUBSIDIZED - UNDERGRADUATE,,,,,DL UNSUBSIDIZED - GRADUATE,,,,,DL PARENT PLUS,,,,,DL GRAD PLUS,,,,
00286000,ADIRONDACK COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,NY,128041445,Public,"1,056","1,142","$3,230,300.00","3,408","$3,210,467.00","1,055","1,202","$3,647,008.00","3,679","$3,619,654.00",-,-, -,-, -,70,80,"$515,839.00",271,"$515,839.00",-,-, -,-, -
00286100,CAYUGA COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGE,NY,130213099,Public,850,891,"$2,418,087.00","1,558","$2,401,587.00",800,863,"$2,756,281.00","1,509","$2,637,529.00",-,-, -,-, -,9,9,"$37,342.00",16,"$34,092.00",-,-, -,-, -
00286200,SUNY BROOME COMMUNITY COLLEGE,NY,139051328,Public,"2,285","2,402","$7,075,565.00","4,251","$6,810,022.00","2,118","2,251","$6,863,077.00","3,955","$6,568,505.00",-,-, -,-, -,157,169,"$1,595,532.00",320,"$1,572,481.00",-,-, -,-, -
00286300,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,NY,148303297,Public,951,"1,023","$2,904,054.00","1,825","$2,904,054.00",944,"1,033","$3,499,549.00","1,874","$3,499,549.00",-,-, -,-, -,43,43,"$296,907.00",83,"$296,907.00",-,-, -,-, -
00286400,DUTCHESS COMMUNITY COLLEGE,NY,126011595,Public,976,"1,026","$2,954,159.00","2,030","$2,794,365.00",954,"1,064","$3,566,649.00","2,098","$3,378,614.00",-,-, -,-, -,86,90,"$644,902.00",173,"$615,778.00",-,-, -,-, -
00286600,FASHION INSTITUTE OF TECHNOLOGY,NY,100015992,Public,"2,389","2,609","$9,729,618.00","4,385","$9,684,405.00","2,652","2,967","$10,031,823.00","5,079","$10,001,364.00",54,61,"$926,389.00",102,"$916,139.00",586,683,"$11,429,350.00","1,163","$11,403,804.00",12,15,"$176,100.00",26,"$176,100.00"
00286700,SUNY FULTON-MONTGOMERY COMMUNITY COLLEGE,NY,120953790,Public,498,554,"$1,551,198.00",973,"$1,461,715.00",486,564,"$1,758,473.00",985,"$1,630,657.00",-,-, -,-, -,52,56,"$292,332.00",99,"$292,332.00",-,-, -,-, -
00286800,HUDSON VALLEY COMMUNITY COLLEGE,NY,121806096,Public,"2,066","2,097","$5,770,270.00","6,326","$5,770,145.00","2,044","2,062","$6,583,343.00","6,378","$6,580,718.00",-,-, -,-, -,64,66,"$446,654.00",128,"$446,654.00",-,-, -,-, -
00286900,JAMESTOWN COMMUNITY COLLEGE,NY,147020020,Public,788,827,"$2,356,061.00","1,522","$2,356,061.00",730,790,"$2,342,843.00","1,457","$2,342,843.00",-,-, -,-, -,87,96,"$549,493.00",183,"$549,493.00",-,-, -,-, -
00287000,JEFFERSON COMMUNITY COLLEGE,NY,136011897,Public,960,960,"$2,725,683.00","1,655","$2,725,683.00","1,024","1,026","$3,703,775.00","1,811","$3,703,775.00",-,-, -,-, -,74,75,"$616,458.00",146,"$616,458.00",-,-, -,-, -
00287100,"SUNY,MOHAWK VALLEY COMMUNITY COLLEGE",NY,135015394,Public,"1,340","1,414","$3,791,871.00","4,397","$3,790,121.00","1,296","1,442","$4,520,880.00","4,506","$4,519,635.00",-,-, -,-, -,125,142,"$850,705.00",458,"$850,705.00",-,-, -,-, -
00287200,MONROE COMMUNITY COLLEGE,NY,146235780,Public,"4,053","4,236","$11,241,532.00","7,778","$11,210,525.00","2,773","2,871","$9,210,478.00","5,190","$8,987,134.00",-,-, -,-, -,110,113,"$724,361.00",215,"$724,361.00",-,-, -,-, -
00287300,NASSAU COMMUNITY COLLEGE,NY,115306793,Public,"1,956","1,961","$5,637,802.00","3,527","$5,630,420.00","2,181","2,189","$7,948,383.00","3,952","$7,938,889.00",-,-, -,-, -,10,13,"$75,744.00",20,"$75,744.00",-,-, -,-, -
00287400,NIAGARA COUNTY COMMUNITY COLLEGE,NY,141329460,Public,949,"1,049","$2,660,458.00","1,944","$2,660,458.00","1,281","1,439","$4,691,290.00","2,665","$4,688,540.00",-,-, -,-, -,73,86,"$430,118.00",161,"$430,118.00",-,-, -,-, -
00287500,ONONDAGA COMMUNITY COLLEGE,NY,132154585,Public,"2,043","2,169","$5,694,008.00","7,020","$5,601,406.00","2,023","2,220","$6,346,142.00","7,250","$6,314,137.00",-,-, -,-, -,128,137,"$683,379.00",275,"$681,663.00",-,-, -,-, -
00287600,ORANGE COUNTY COMMUNITY COLLEGE,NY,109406441,Public,"1,036","1,051","$2,822,606.00","1,955","$2,811,419.00","1,220","1,233","$4,568,822.00","2,307","$4,528,225.00",-,-, -,-, -,7,7,"$44,887.00",15,"$44,887.00",-,-, -,-, -
00287700,ROCKLAND COMMUNITY COLLEGE,NY,109013611,Public,458,496,"$1,251,665.00",724,"$1,247,082.00",556,592,"$1,960,728.00",939,"$1,951,756.00",-,-, -,-, -,11,11,"$62,924.00",17,"$62,924.00",-,-, -,-, -
00287800,SUFFOLK COUNTY COMMUNITY COLLEGE,NY,117842899,Public,"1,863","1,939","$5,161,318.00","3,295","$5,158,714.00","2,225","2,403","$7,221,362.00","4,171","$7,214,803.00",-,-, -,-, -,20,20,"$75,715.00",33,"$75,715.00",-,-, -,-, -
00287900,SULLIVAN COUNTY COMMUNITY COLLEGE,NY,127595151,Public,333,354,"$978,323.00",639,"$974,323.00",323,391,"$879,615.00",700,"$873,525.00",-,-, -,-, -,37,46,"$263,755.00",85,"$263,755.00",-,-, -,-, -
00288000,ULSTER COUNTY COMMUNITY COLLEGE,NY,124840557,Public,341,374,"$978,017.00",675,"$978,017.00",307,358,"$1,076,372.00",662,"$1,076,372.00",-,-, -,-, -,4,4,"$25,768.00",8,"$25,768.00",-,-, -,-, -
00288100,SUNY WESTCHESTER COMMUNITY COLLEGE,NY,105951698,Public,623,672,"$1,716,426.00","1,122","$1,716,426.00",763,860,"$2,426,793.00","1,421","$2,426,793.00",-,-, -,-, -,17,18,"$60,674.00",27,"$60,674.00",-,-, -,-, -
00288200,SYRACUSE UNIVERSITY,NY,132442130,Private-Nonprofit,"5,564","6,053","$24,696,560.00","10,968","$24,696,560.00","6,011","6,517","$17,988,346.00","11,994","$17,988,346.00","2,941","5,549","$51,234,771.00","6,418","$51,230,190.00","1,549","1,852","$40,783,394.00","3,328","$40,783,394.00","1,586","3,201","$33,604,848.00","3,747","$33,604,848.00"
00288300,UTICA COLLEGE- UTICA,NY,135024892,Private-Nonprofit,"2,353","2,619","$10,279,563.00","4,769","$9,647,621.00","2,505","2,822","$10,894,288.00","5,172","$9,808,997.00",785,"1,052","$14,155,003.00","2,143","$11,141,571.00",520,583,"$8,380,438.00","1,042","$8,277,849.00",136,174,"$3,814,024.00",332,"$3,008,610.00"
00288500,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,NY,122083492,Private-Nonprofit,575,579,"$2,615,373.00","1,127","$2,613,539.00",574,591,"$2,100,765.00","1,146","$2,097,348.00",190,355,"$10,641,718.00",546,"$8,112,807.00",94,105,"$2,283,263.00",203,"$2,279,881.00",70,122,"$1,936,991.00",185,"$1,490,622.00"
00288600,ALBANY LAW SCHOOL OF UNION UNIVERSITY,NY,122083494,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,350,394,"$7,367,736.00",761,"$7,127,374.00",-,-, -,-, -,249,275,"$4,663,784.00",510,"$4,294,920.00"
00288700,ALBANY MEDICAL COLLEGE,NY,122083479,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,528,727,"$22,543,415.00","1,256","$20,491,603.00",-,-, -,-, -,416,788,"$12,261,427.00","1,232","$11,146,511.00"
00288900,UNION COLLEGE,NY,123082311,Private-Nonprofit,837,859,"$3,716,331.00","2,456","$3,712,663.00",847,871,"$2,545,124.00","2,445","$2,544,458.00",-,-, -,-, -,126,141,"$3,244,393.00",357,"$3,244,393.00",-,-, -,-, -
00289000,UNION THEOLOGICAL SEMINARY,NY,100275710,Private-Nonprofit,-,-, -,-, -,-,-, -,-, -,117,125,"$2,080,754.00",237,"$2,079,754.00",-,-, -,-, -,71,88,"$912,977.00",157,"$912,977.00"
00289200,UNITED STATES MERCHANT MARINE ACADEMY,NY,110241634,Public,33,33,"$125,866.00",54,"$125,866.00",48,50,"$214,428.00",106,"$214,428.00",-,-, -,-, -,-,-, -,-, -,-,-, -,-, -
00289400,UNIVERSITY OF ROCHESTER,NY,146279000,Private-Nonprofit,"2,389","2,466","$10,704,604.00","4,645","$10,704,604.00","1,621","1,764","$5,437,441.00","3,215","$5,437,441.00","1,023","1,212","$22,316,741.00","2,209","$22,310,899.00",448,599,"$9,665,904.00",969,"$9,665,904.00",395,592,"$7,036,460.00",935,"$7,035,544.00"
00289500,VASSAR COLLEGE,NY,126040008,Private-Nonprofit,823,833,"$3,273,161.00","1,595","$3,273,161.00",534,552,"$1,809,858.00","1,038","$1,809,858.00",-,-, -,-, -,144,162,"$3,378,466.00",275,"$3,378,466.00",-,-, -,-, -
00289600,VILLA MARIA COLLEGE OF BUFFALO,NY,142253999,Private-Nonprofit,411,412,"$1,644,421.00",783,"$1,644,421.00",405,405,"$1,537,928.00",773,"$1,537,928.00",-,-, -,-, -,36,36,"$307,168.00",72,"$307,168.00",-,-, -,-, -
00289900,WAGNER COLLEGE,NY,103014495,Private-Nonprofit,835,925,"$3,895,853.00","1,748","$3,883,483.00",964,"1,071","$3,550,411.00","2,056","$3,540,859.00",118,132,"$1,893,398.00",229,"$1,840,190.00",297,333,"$7,361,472.00",608,"$7,332,055.00",32,33,"$604,511.00",66,"$594,610.00"
00290000,WEBB INSTITUTE,NY,115421398,Private-Nonprofit,12,12,"$45,050.00",24,"$45,050.00",7,7,"$20,475.00",15,"$20,475.00",-,-, -,-, -,5,5,"$43,900.00",8,"$43,900.00",-,-, -,-, -
00290100,WELLS COLLEGE,NY,130260500,Private-Nonprofit,360,416,"$1,477,811.00",664,"$1,477,811.00",391,483,"$1,078,166.00",767,"$1,078,166.00",-,-, -,-, -,114,153,"$1,573,181.00",230,"$1,573,181.00",-,-, -,-, -
00290300,YESHIVA UNIVERSITY,NY,100333201,Private-Nonprofit,506,521,"$2,111,758.00",945,"$2,088,736.00",557,598,"$2,066,404.00","1,111","$2,043,417.00","1,201","1,431","$25,056,137.00","2,379","$24,251,124.00",231,259,"$3,574,061.00",459,"$3,574,061.00",660,942,"$16,476,100.00","1,558","$15,747,378.00"
00290500,NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,NC,274110001,Public,"7,366","7,751","$29,272,160.00","14,700","$29,271,497.00","7,488","8,979","$26,230,847.00","17,054","$26,229,636.00",738,871,"$10,988,970.00","1,588","$10,988,970.00","1,986","2,533","$27,255,072.00","4,995","$27,236,789.00",78,100,"$665,254.00",196,"$665,254.00"
00290600,APPALACHIAN STATE UNIVERSITY,NC,286080001,Public,"6,545","8,463","$27,512,512.00","15,039","$27,504,370.00","7,094","7,689","$24,559,107.00","13,802","$24,547,333.00",851,"1,108","$11,176,732.00","1,850","$11,174,625.00","2,118","2,394","$24,595,362.00","4,404","$24,591,338.00",45,62,"$357,149.00",99,"$357,149.00"
00290700,UNIVERSITY OF NORTH CAROLINA  ASHEVILLE,NC,288048503,Public,"1,495","1,522","$6,009,317.00","2,804","$6,001,962.00","1,583","1,607","$5,884,702.00","3,010","$5,884,702.00",7,8,"$131,387.00",16,"$131,387.00",217,225,"$2,374,519.00",453,"$2,374,519.00",-,-, -,-, -
00290800,BARTON COLLEGE,NC,278933104,Private-Nonprofit,705,705,"$2,901,680.00","1,288","$2,883,102.00",743,783,"$2,590,058.00","1,426","$2,564,149.00",60,60,"$1,048,427.00",117,"$1,027,718.00",216,225,"$3,334,935.00",413,"$3,323,907.00",5,6,"$82,309.00",12,"$79,561.00"
00291000,BELMONT ABBEY COLLEGE,NC,280121802,Private-Nonprofit,779,803,"$2,998,449.00","1,715","$2,998,449.00",857,914,"$3,486,207.00","1,917","$3,486,207.00",-,-, -,-, -,351,360,"$4,769,734.00",656,"$4,769,734.00",-,-, -,-, -
00291100,BENNETT COLLEGE,NC,274013239,Private-Nonprofit,373,375,"$1,407,888.00",695,"$1,407,888.00",363,465,"$1,331,469.00",859,"$1,331,469.00",-,-, -,-, -,107,110,"$1,401,330.00",204,"$1,401,330.00",-,-, -,-, -
00291200,BREVARD COLLEGE,NC,287123306,Private-Nonprofit,444,447,"$1,713,477.00",847,"$1,710,727.00",492,555,"$1,480,950.00","1,042","$1,480,950.00",-,-, -,-, -,168,178,"$2,228,871.00",349,"$2,228,871.00",-,-, -,-, -
00291300,CAMPBELL UNIVERSITY,NC,275060036,Private-Nonprofit,"1,926","2,207","$8,294,976.00","4,483","$8,107,581.00","1,941","2,137","$7,665,771.00","4,375","$7,385,243.00","1,554","1,755","$49,053,441.00","3,092","$42,864,585.00",852,969,"$15,790,016.00","1,717","$15,726,433.00","1,244","1,853","$34,891,598.00","2,983","$31,773,719.00"
00291400,CATAWBA COLLEGE,NC,281442488,Private-Nonprofit,745,787,"$2,904,863.00","1,438","$2,904,863.00",788,871,"$2,759,374.00","1,591","$2,759,374.00",-,-, -,-, -,190,216,"$2,297,425.00",368,"$2,297,425.00",-,-, -,-, -
00291600,CHOWAN UNIVERSITY,NC,278551850,Private-Nonprofit,"1,194","1,318","$4,615,508.00","2,471","$4,612,633.00","1,218","1,966","$4,726,044.00","3,692","$4,718,919.00",-,-, -,-, -,493,518,"$5,098,119.00",965,"$5,098,119.00",-,-, -,-, -
00291800,DAVIDSON COLLEGE,NC,280350000,Private-Nonprofit,236,251,"$826,822.00",464,"$826,822.00",320,338,"$1,497,862.00",621,"$1,497,862.00",-,-, -,-, -,133,150,"$3,616,668.00",263,"$3,616,668.00",-,-, -,-, -
00291900,DAVIDSON COUNTY COMMUNITY COLLEGE,NC,273600000,Public,437,442,"$1,317,972.00",758,"$1,317,972.00",478,485,"$2,079,700.00",837,"$2,079,700.00",-,-, -,-, -,1,1,"$6,000.00",2,"$6,000.00",-,-, -,-, -
00292000,DUKE UNIVERSITY,NC,277080397,Private-Nonprofit,"1,188","1,339","$4,748,024.00","2,587","$4,748,024.00",654,703,"$2,946,807.00","1,357","$2,946,807.00","2,728","2,893","$54,967,290.00","6,242","$54,634,238.00",236,277,"$6,901,751.00",495,"$6,901,751.00","1,923","2,489","$59,746,110.00","4,952","$59,033,157.00"
00292300,EAST CAROLINA UNIVERSITY,NC,278581818,Public,"10,241","11,123","$41,666,802.00","19,723","$41,638,552.00","11,114","12,052","$39,726,080.00","21,822","$39,696,998.00","2,482","2,984","$38,211,150.00","5,009","$38,200,900.00","1,957","2,187","$26,566,937.00","3,833","$26,111,374.00",259,353,"$2,224,338.00",494,"$2,201,618.00"
00292600,ELIZABETH CITY STATE UNIVERSITY,NC,279097806,Public,958,"1,039","$3,429,113.00","1,935","$3,420,187.00",862,969,"$2,759,025.00","1,792","$2,749,358.00",44,60,"$508,669.00",112,"$508,669.00",88,103,"$612,270.00",197,"$612,270.00",-,-, -,-, -
00292700,ELON UNIVERSITY,NC,272442010,Private-Nonprofit,"1,313","1,342","$5,576,194.00","2,529","$5,576,194.00","1,549","1,623","$5,187,597.00","3,065","$5,187,597.00",588,821,"$10,718,622.00","1,446","$10,710,139.00",637,705,"$16,490,552.00","1,310","$16,490,552.00",401,633,"$12,654,590.00","1,290","$12,634,771.00"
00292800,FAYETTEVILLE STATE UNIVERSITY,NC,283014298,Public,"3,030","3,522","$12,133,788.00","6,167","$12,133,788.00","2,924","3,617","$11,977,935.00","6,206","$11,977,935.00",381,476,"$4,771,311.00",754,"$4,771,311.00",190,233,"$1,399,197.00",399,"$1,399,197.00",6,8,"$75,570.00",14,"$75,570.00"
00292900,GARDNER-WEBB UNIVERSITY,NC,280170000,Private-Nonprofit,"1,110","1,138","$4,517,646.00","2,163","$4,376,594.00","1,212","1,324","$4,939,316.00","2,498","$4,717,730.00","1,137","1,181","$15,368,105.00","2,629","$14,533,957.00",289,317,"$4,518,805.00",573,"$4,487,833.00",83,99,"$1,917,709.00",211,"$1,844,691.00"
00293000,GREENSBORO COLLEGE,NC,274011875,Private-Nonprofit,559,595,"$2,243,931.00","1,025","$2,243,931.00",602,647,"$2,227,906.00","1,111","$2,227,906.00",15,22,"$167,840.00",27,"$167,840.00",176,189,"$2,146,553.00",325,"$2,146,553.00",-,-, -,-, -
00293100,GUILFORD COLLEGE,NC,274104171,Private-Nonprofit,726,746,"$3,043,382.00","1,383","$2,997,227.00",774,844,"$2,986,150.00","1,561","$2,896,487.00",10,13,"$150,838.00",22,"$144,004.00",217,236,"$3,197,765.00",442,"$3,178,315.00",-,-, -,-, -
00293300,HIGH POINT UNIVERSITY,NC,272682726,Private-Nonprofit,"1,400","1,413","$5,970,132.00","2,718","$5,970,132.00","1,821","1,834","$6,218,246.00","3,515","$6,218,246.00",537,763,"$9,946,495.00","1,261","$9,946,495.00",642,716,"$20,552,935.00","1,236","$20,552,935.00",312,604,"$10,710,390.00",863,"$10,710,390.00"
00293600,JOHNSON C. SMITH UNIVERSITY,NC,282165398,Private-Nonprofit,"1,297","1,297","$5,197,996.00","2,866","$5,081,931.00","1,310","1,311","$5,716,047.00","2,880","$5,588,936.00",97,97,"$1,799,999.00",198,"$1,755,034.00",423,427,"$6,498,481.00",890,"$6,312,172.00",18,18,"$179,086.00",37,"$179,086.00"
00293700,KING'S COLLEGE,NC,282042435,Proprietary,11,11,"$12,375.00",11,"$12,375.00",11,20,"$11,927.00",20,"$11,927.00",-,-, -,-, -,2,2,"$3,374.00",2,"$3,374.00",-,-, -,-, -
00293900,LEES-MCRAE COLLEGE,NC,286040000,Private-Nonprofit,615,636,"$2,461,773.00","1,121","$2,461,773.00",506,514,"$1,652,900.00",944,"$1,652,900.00",-,-, -,-, -,162,168,"$1,727,267.00",309,"$1,727,267.00",-,-, -,-, -
00294100,LENOIR-RHYNE UNIVERSITY,NC,286013984,Private-Nonprofit,956,966,"$3,987,492.00","1,804","$3,976,227.00","1,024","1,126","$3,499,419.00","2,113","$3,488,587.00",531,726,"$9,714,414.00","1,061","$8,786,597.00",425,440,"$4,930,029.00",822,"$4,908,475.00",168,206,"$4,353,025.00",365,"$3,265,053.00"
00294200,LIVINGSTONE COLLEGE,NC,281445298,Private-Nonprofit,"1,101","1,101","$4,358,336.00","2,066","$4,358,336.00","1,108","1,484","$4,345,226.00","2,742","$4,345,226.00",-,-, -,-, -,371,374,"$4,365,306.00",731,"$4,365,306.00",-,-, -,-, -
00294300,LOUISBURG COLLEGE,NC,275492398,Private-Nonprofit,632,646,"$2,028,246.00","1,191","$2,028,246.00",591,790,"$1,899,938.00","1,422","$1,899,938.00",-,-, -,-, -,221,232,"$2,348,912.00",441,"$2,348,912.00",-,-, -,-, -
00294400,MARS HILL UNIVERSITY,NC,287540000,Private-Nonprofit,776,792,"$3,132,766.00","1,456","$3,094,550.00",777,910,"$2,578,695.00","1,659","$2,529,263.00",15,17,"$195,010.00",31,"$171,008.00",182,202,"$2,001,241.00",387,"$1,979,873.00",-,-, -,-, -
00294500,MEREDITH COLLEGE,NC,276075298,Private-Nonprofit,919,971,"$4,076,375.00","1,800","$4,076,375.00",979,"1,082","$3,347,457.00","2,019","$3,347,457.00",142,171,"$2,054,774.00",260,"$2,044,524.00",324,397,"$5,852,649.00",642,"$5,852,649.00",19,24,"$183,681.00",31,"$183,681.00"
00294600,METHODIST UNIVERSITY,NC,283111420,Private-Nonprofit,865,"1,030","$3,505,160.00","1,701","$3,505,160.00",890,"1,091","$2,947,843.00","1,837","$2,947,843.00",236,270,"$4,343,812.00",601,"$4,343,812.00",307,349,"$4,607,856.00",581,"$4,607,856.00",179,204,"$5,120,179.00",492,"$5,120,179.00"
00294800,MONTREAT COLLEGE,NC,287571267,Private-Nonprofit,466,466,"$1,874,650.00",904,"$1,850,075.00",511,555,"$1,933,005.00","1,057","$1,908,247.00",80,80,"$1,203,510.00",339,"$1,152,261.00",134,146,"$1,670,467.00",258,"$1,662,291.00",2,2,"$28,558.00",10,"$28,558.00"
00294900,UNIVERSITY OF MOUNT OLIVE,NC,283651299,Private-Nonprofit,"1,961","2,135","$7,698,214.00","4,376","$7,689,215.00","2,010","2,382","$9,488,512.00","4,889","$9,480,013.00",222,235,"$2,771,628.00",429,"$2,771,628.00",155,173,"$1,513,907.00",303,"$1,513,907.00",3,3,"$14,293.00",4,"$14,293.00"
00295000,NORTH CAROLINA CENTRAL UNIVERSITY,NC,277073198,Public,"4,628","5,366","$18,387,332.00","10,066","$18,372,425.00","4,544","5,870","$18,220,363.00","10,903","$18,197,633.00","1,506","1,646","$25,802,311.00","3,110","$25,724,223.00","1,653","2,033","$20,145,280.00","3,900","$20,124,596.00",930,"1,234","$12,872,334.00","2,353","$12,849,424.00"
00295100,NORTH CAROLINA WESLEYAN COLLEGE,NC,278048699,Private-Nonprofit,"1,130","1,231","$4,332,191.00","2,379","$4,159,952.00","1,177","1,500","$4,861,052.00","2,885","$4,649,467.00",34,42,"$561,704.00",79,"$520,023.00",314,341,"$2,396,182.00",656,"$2,354,985.00",-,-, -,-, -
00295300,WILLIAM PEACE UNIVERSITY,NC,276041194,Private-Nonprofit,626,656,"$2,479,707.00","1,176","$2,479,707.00",659,703,"$2,341,908.00","1,229","$2,341,908.00",-,-, -,-, -,302,322,"$4,731,477.00",588,"$4,731,477.00",-,-, -,-, -
00295400,UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,NC,283721510,Public,"3,555","3,884","$14,239,856.00","6,961","$13,410,978.00","3,732","4,232","$13,783,490.00","7,666","$12,865,797.00",790,"1,031","$10,659,083.00","2,035","$10,041,949.00",413,478,"$2,864,968.00",831,"$2,742,831.00",55,63,"$425,099.00",106,"$400,671.00"
00295500,PFEIFFER UNIVERSITY,NC,281090000,Private-Nonprofit,697,737,"$2,811,850.00","1,338","$2,724,889.00",714,864,"$2,449,901.00","1,564","$2,359,362.00",374,752,"$4,537,445.00",755,"$4,537,445.00",171,180,"$2,341,628.00",333,"$2,269,552.00",5,5,"$17,772.00",5,"$17,772.00"
00295600,PIEDMONT INTERNATIONAL UNIVERSITY,NC,271015025,Private-Nonprofit,306,333,"$1,104,532.00",638,"$1,080,365.00",284,316,"$1,002,225.00",583,"$962,919.00",109,119,"$1,385,595.00",263,"$1,316,760.00",47,48,"$392,131.00",91,"$378,503.00",7,8,"$152,971.00",22,"$136,696.00"
00295700,QUEENS UNIVERSITY OF CHARLOTTE,NC,282740001,Private-Nonprofit,907,907,"$3,861,633.00","1,605","$3,856,133.00","1,027","1,099","$4,412,245.00","1,953","$4,407,759.00",537,537,"$8,041,523.00","1,794","$8,035,366.00",263,269,"$4,396,219.00",502,"$4,396,219.00",32,33,"$298,057.00",87,"$298,057.00"
00296000,SALEM COLLEGE,NC,271015376,Private-Nonprofit,453,453,"$2,000,489.00",847,"$2,000,489.00",453,500,"$1,658,159.00",935,"$1,658,159.00",93,93,"$1,217,868.00",205,"$1,217,868.00",66,69,"$556,129.00",124,"$556,129.00",-,-, -,-, -
00296200,SHAW UNIVERSITY,NC,276012393,Private-Nonprofit,"1,096","1,106","$4,269,999.00","2,063","$4,254,874.00","1,136","1,466","$4,582,590.00","2,707","$4,557,470.00",98,102,"$1,789,965.00",188,"$1,748,965.00",421,448,"$5,035,577.00",863,"$5,027,138.00",-,-, -,-, -
00296800,SAINT AUGUSTINE'S UNIVERSITY,NC,276102298,Private-Nonprofit,661,661,"$2,647,992.00","1,252","$2,631,992.00",666,675,"$2,676,537.00","1,277","$2,645,748.00",-,-, -,-, -,219,220,"$2,727,130.00",433,"$2,614,357.00",-,-, -,-, -
00297200,NORTH CAROLINA STATE UNIVERSITY,NC,276957001,Public,"7,504","8,072","$29,595,105.00","14,345","$29,595,105.00","8,323","8,836","$31,369,021.00","16,029","$31,369,021.00","2,276","2,619","$38,630,016.00","4,407","$38,630,016.00","1,226","1,353","$16,354,837.00","2,412","$16,354,837.00",279,338,"$3,791,536.00",571,"$3,791,536.00"
00297400,UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL-,NC,275999100,Public,"3,733","4,283","$14,633,922.00","7,594","$14,490,863.00","2,478","2,627","$11,577,587.00","4,779","$11,500,270.00","3,877","4,606","$93,167,010.00","8,076","$91,162,315.00",633,694,"$8,780,750.00","1,299","$8,757,842.00","2,090","2,946","$45,815,162.00","4,859","$42,941,866.00"
00297500,UNIVERSITY OF NORTH CAROLINA - CHARLOTTE,NC,282230001,Public,"10,684","11,417","$43,707,570.00","20,439","$43,681,547.00","10,824","11,870","$41,755,924.00","21,439","$41,728,020.00","1,739","1,963","$24,848,475.00","3,343","$24,793,975.00","1,851","2,087","$23,154,578.00","3,775","$23,125,707.00",148,220,"$1,841,973.00",349,"$1,828,602.00"
00297600,UNIVERSITY OF NORTH CAROLINA -GREENSBORO,NC,274120001,Public,"8,933","10,005","$35,707,266.00","17,219","$35,707,266.00","8,899","10,577","$32,445,324.00","18,601","$32,445,324.00","1,377","1,827","$17,817,732.00","2,914","$17,817,732.00","1,455","1,720","$14,344,823.00","2,959","$14,344,823.00",84,115,"$699,605.00",173,"$699,605.00"
00297800,WAKE FOREST UNIVERSITY,NC,271097246,Private-Nonprofit,836,837,"$3,515,087.00","1,662","$3,514,087.00",967,970,"$3,376,951.00","1,879","$3,376,951.00","1,643","1,812","$40,323,300.00","3,575","$35,090,602.00",197,221,"$6,039,227.00",404,"$6,020,360.00",984,"1,198","$26,355,974.00","2,288","$22,389,197.00"
00297900,WARREN WILSON COLLEGE,NC,287782099,Private-Nonprofit,354,370,"$1,392,593.00",669,"$1,389,218.00",349,392,"$1,107,167.00",715,"$1,103,042.00",33,33,"$420,101.00",48,"$420,101.00",87,89,"$1,084,807.00",159,"$1,084,807.00",3,3,"$62,500.00",6,"$62,500.00"
00298100,WESTERN CAROLINA UNIVERSITY,NC,287239731,Public,"4,596","4,750","$17,806,039.00","8,324","$17,792,658.00","5,142","5,527","$18,349,453.00","9,905","$18,333,383.00",884,"1,031","$12,032,596.00","1,670","$11,980,220.00","1,329","1,491","$10,871,216.00","2,599","$10,866,307.00",115,170,"$1,063,978.00",232,"$1,059,748.00"
00298300,WILKES COMMUNITY COLLEGE,NC,286972100,Public,96,96,"$296,576.00",414,"$296,576.00",77,77,"$249,010.00",349,"$249,010.00",-,-, -,-, -,4,4,"$21,665.00",17,"$21,665.00",-,-, -,-, -
00298400,UNIVERSITY OF NORTH AT CAROLINA WILMINGTON (THE),NC,284033297,Public,"5,464","5,893","$22,782,252.00","10,720","$22,744,706.00","5,694","6,280","$21,924,633.00","11,590","$21,876,001.00","1,033","1,341","$14,407,064.00","2,306","$14,391,689.00","1,078","1,216","$15,641,589.00","2,175","$15,611,024.00",86,137,"$825,120.00",226,"$825,120.00"
00298500,WINGATE UNIVERSITY,NC,281740159,Private-Nonprofit,"1,342","1,425","$5,415,336.00","2,524","$5,415,336.00","1,500","1,744","$5,138,367.00","3,213","$5,138,367.00",708,816,"$18,406,630.00","1,663","$17,672,336.00",575,620,"$6,974,044.00","1,131","$6,974,044.00",333,391,"$7,239,379.00",889,"$6,917,127.00"
